year,Number of Trips <1,Number of Trips 1-5,Number of Trips 5-25,Number of Trips 25-100,Number of Trips >=100
2019/02/14,865248786.3120098,1292842292.2629356,1026906556.1207064,224513595.4695668,36159210.54786353
2019/02/15,866702886.0760005,1296141530.6246057,1030102687.1275746,225121200.17773825,36194499.14371646
2019/02/16,868245650.1789764,1299608468.0260208,1033435826.2391378,225750032.55954653,36228461.29068503
2019/02/17,869877078.6209377,1303243104.467181,1036905973.455396,226400092.6149917,36261096.98876923
2019/02/18,871597171.4018844,1307045439.948086,1040513128.7763492,227071380.34407368,36292406.23796908
2019/02/19,873405928.5218164,1311015474.4687364,1044257292.2019974,227763895.74679253,36322389.03828456
2019/02/20,875303349.9806371,1315153208.0289867,1048138463.7322257,228477638.82312307,36351045.38971165
2019/02/21,875541186.7335554,1315668419.4953642,1047916553.736851,228489879.46671075,36401597.917499386
2019/02/22,878030106.8953586,1319876398.1413286,1052934669.7780972,229497810.53355032,36475541.7222177
2019/02/23,881991798.0240622,1326578219.7561505,1060869664.7337416,231087711.20717576,36496568.47689511
2019/02/24,884679272.768984,1333175477.9217489,1067066971.2509024,232219942.61363477,36566966.89737987
2019/02/25,887412254.884702,1340456051.3138902,1072756051.0283087,233212407.9940756,36640394.55454462
2019/02/26,888690728.6826856,1345493535.0611854,1076140298.669426,233783198.92896023,36745408.352193296
2019/02/27,891373215.1604495,1350492234.148904,1080530780.8407743,234659444.0742068,36800234.37259242
2019/02/28,894513512.9496505,1355620666.4187648,1085198798.7630398,235542210.350176,36798862.165807664
2019/03/01,897481738.15021,1360965404.07329,1091166447.2341795,236649673.2862257,36826381.72121854
2019/03/02,902078826.3466444,1369166376.985645,1100301390.6426156,238351384.79673105,36785603.04241086
2019/03/03,905472757.2227288,1377459928.3654182,1107719440.699,239562149.536701,36779187.53129081
2019/03/04,908922664.7727244,1386378423.0325267,1114598189.2049692,240637801.6918252,36783301.78764461
2019/03/05,910769043.1024486,1392694797.4196286,1118955916.0648546,241299010.86724055,36846493.41574138
2019/03/06,913903757.0273998,1398935224.5658128,1124367378.8334756,242296531.66098595,36876543.31459631
2019/03/07,917678441.7738158,1405373438.181421,1129989125.5486505,243271933.1661082,36841461.42813875
2019/03/08,921244987.9872328,1411867022.9465318,1136849994.9847274,244493040.0062037,36843783.93852182
2019/03/09,926317550.9227666,1420811801.1977315,1146546096.9223838,246287079.1667778,36800759.87863234
2019/03/10,930107356.896582,1429692149.4527678,1154399661.4141004,247571402.87532908,36795173.61710231
2019/03/11,933951534.6629164,1439121852.941671,1161646825.566069,248705414.4997468,36795719.208411925
2019/03/12,936106155.4746898,1445830247.7096615,1166290536.3089137,249423228.39801607,36860114.91436503
