Date,Location,Value
18-Jul-21,Aviation,-0.2
25-Jul-21,Aviation,-0.2
1-Aug-21,Aviation,-0.21
8-Aug-21,Aviation,-0.21
15-Aug-21,Aviation,-0.23
22-Aug-21,Aviation,-0.26
29-Aug-21,Aviation,-0.15
5-Sep-21,Aviation,-0.25
12-Sep-21,Aviation,-0.28
19-Sep-21,Aviation,-0.25
26-Sep-21,Aviation,-0.23
3-Oct-21,Aviation,-0.22
10-Oct-21,Aviation,-0.19
17-Oct-21,Aviation,-0.23
24-Oct-21,Aviation,-0.16
31-Oct-21,Aviation,-0.23
7-Nov-21,Aviation,-0.18
14-Nov-21,Aviation,-0.14
21-Nov-21,Aviation,-0.11
28-Nov-21,Aviation,-0.17
5-Dec-21,Aviation,-0.19
12-Dec-21,Aviation,-0.19
19-Dec-21,Aviation,-0.19
26-Dec-21,Aviation,-0.18
2-Jan-22,Aviation,-0.16
9-Jan-22,Aviation,-0.26
16-Jan-22,Aviation,-0.28
23-Jan-22,Aviation,-0.27
30-Jan-22,Aviation,-0.27
6-Feb-22,Aviation,-0.24
9-Feb-20,Passenger Rail,0.01
16-Feb-20,Passenger Rail,0.04
23-Feb-20,Passenger Rail,0.02
1-Mar-20,Passenger Rail,0.02
8-Mar-20,Passenger Rail,-0.08
15-Mar-20,Passenger Rail,-0.43
22-Mar-20,Passenger Rail,-0.83
29-Mar-20,Passenger Rail,-0.93
5-Apr-20,Passenger Rail,-0.95
12-Apr-20,Passenger Rail,-0.96
19-Apr-20,Passenger Rail,-0.96
26-Apr-20,Passenger Rail,-0.95
3-May-20,Passenger Rail,-0.94
10-May-20,Passenger Rail,-0.93
17-May-20,Passenger Rail,-0.93
24-May-20,Passenger Rail,-0.92
31-May-20,Passenger Rail,-0.9
7-Jun-20,Passenger Rail,-0.88
14-Jun-20,Passenger Rail,-0.86
21-Jun-20,Passenger Rail,-0.83
28-Jun-20,Passenger Rail,-0.82
5-Jul-20,Passenger Rail,-0.77
12-Jul-20,Passenger Rail,-0.8
19-Jul-20,Passenger Rail,-0.82
26-Jul-20,Passenger Rail,-0.81
2-Aug-20,Passenger Rail,-0.8
9-Aug-20,Passenger Rail,-0.8
16-Aug-20,Passenger Rail,-0.79
23-Aug-20,Passenger Rail,-0.78
30-Aug-20,Passenger Rail,-0.77
6-Sep-20,Passenger Rail,-0.74
13-Sep-20,Passenger Rail,-0.72
20-Sep-20,Passenger Rail,-0.75
27-Sep-20,Passenger Rail,-0.74
4-Oct-20,Passenger Rail,-0.74
11-Oct-20,Passenger Rail,-0.74
18-Oct-20,Passenger Rail,-0.76
25-Oct-20,Passenger Rail,-0.75
1-Nov-20,Passenger Rail,-0.73
8-Nov-20,Passenger Rail,-0.77
15-Nov-20,Passenger Rail,-0.78
22-Nov-20,Passenger Rail,-0.78
29-Nov-20,Passenger Rail,-0.81
6-Dec-20,Passenger Rail,-0.81
13-Dec-20,Passenger Rail,-0.84
20-Dec-20,Passenger Rail,-0.83
27-Dec-20,Passenger Rail,-0.77
3-Jan-21,Passenger Rail,-0.71
10-Jan-21,Passenger Rail,-0.75
17-Jan-21,Passenger Rail,-0.78
24-Jan-21,Passenger Rail,-0.79
31-Jan-21,Passenger Rail,-0.75
7-Feb-21,Passenger Rail,-0.78
14-Feb-21,Passenger Rail,-0.73
21-Feb-21,Passenger Rail,-0.74
28-Feb-21,Passenger Rail,-0.74
7-Mar-21,Passenger Rail,-0.73
14-Mar-21,Passenger Rail,-0.73
21-Mar-21,Passenger Rail,-0.7
28-Mar-21,Passenger Rail,-0.68
4-Apr-21,Passenger Rail,-0.65
11-Apr-21,Passenger Rail,-0.66
18-Apr-21,Passenger Rail,-0.68
25-Apr-21,Passenger Rail,-0.65
2-May-21,Passenger Rail,-0.64
9-May-21,Passenger Rail,-0.62
16-May-21,Passenger Rail,-0.61
23-May-21,Passenger Rail,-0.59
30-May-21,Passenger Rail,-0.48
6-Jun-21,Passenger Rail,-0.45
13-Jun-21,Passenger Rail,-0.47
20-Jun-21,Passenger Rail,-0.43
27-Jun-21,Passenger Rail,-0.41
4-Jul-21,Passenger Rail,-0.37
11-Jul-21,Passenger Rail,-0.34
18-Jul-21,Passenger Rail,-0.39
25-Jul-21,Passenger Rail,-0.33
