Number of Trips <1,Number of Trips 1-5,Number of Trips 5-25,Number of Trips 25-100,Number of Trips >=100,date
834469200.8323221,1127654436.8745766,895731289.4701297,212386760.0494086,35512469.491148114,2020/06/13
831560859.1954024,1123670912.9522119,894241942.8347536,212517960.9847973,35737334.715194754,2020/06/14
827472997.674038,1119121082.081499,890932351.5667892,212125202.03694433,35996555.24182021,2020/06/15
821643178.4878044,1112896847.4078333,885834998.5162508,211260993.9093676,36213457.09751449,2020/06/16
817331173.7297138,1107477897.125829,882947164.8683087,211093340.8798307,36396043.126961105,2020/06/17
814101223.0615706,1102394489.9618387,880389536.3625343,210980335.50463003,36520362.74315864,2020/06/18
811501400.8146899,1097578382.6437984,878894668.5099304,211169935.4737823,36659343.38709581,2020/06/19
808990215.2466547,1093235202.6720655,878040106.2126882,211389642.57542545,36667049.89295805,2020/06/20
806401706.1330689,1089479227.854106,876011891.0167428,211207434.8176662,36805640.050768,2020/06/21
803213208.9679362,1085477437.469066,872421869.8942348,210507339.80509415,36945244.49536876,2020/06/22
799569311.2912524,1081091480.2271547,867909710.1805367,209540330.87116492,36922350.4615411,2020/06/23
796749563.2100059,1077188816.3876593,865416764.3199402,209215477.94994178,36807116.58747507,2020/06/24
793227404.1563036,1072403790.6625457,862479457.2313997,208785633.9004893,36623214.876202986,2020/06/25
790011408.1300964,1067892891.72243,860861707.7411685,208740678.54177573,36517686.60673819,2020/06/26
788244203.3668001,1065084904.3534952,860598847.3997514,208896991.29852134,36251411.77504341,2020/06/27
785119691.4714061,1061962461.4944458,858958984.7513667,208683641.18467596,36108671.224045604,2020/06/28
781911557.3386242,1060081045.6850116,856624674.3110452,207981993.2035779,35944273.80415218,2020/06/29
776412762.7898815,1055511848.7531567,852221997.6295377,206964249.97891092,35821284.56286399,2020/06/30
773021152.5941311,1051800483.350412,850291399.1315815,206711766.26848656,35726348.653155535,2020/07/01
769658420.3420541,1047488860.6053739,848227048.4299979,206497275.39523318,35644468.67722495,2020/07/02
766562934.8129821,1043142621.5900089,847017505.8797517,206629930.8961289,35624252.20332028,2020/07/03
765441033.1137638,1041542333.3225598,848356807.0604918,207477665.03397372,35739625.237439215,2020/07/04
763323536.9285462,1039320324.732736,848249462.3572651,207936571.27761254,36021698.38919901,2020/07/05
760531510.4246216,1036888322.9665501,846417164.978214,207740302.35887408,36273088.41716004,2020/07/06
757582333.3806047,1034750123.1822661,844054944.4076706,207356979.66302884,36559558.92636627,2020/07/07
755854327.4548814,1033493091.1887591,844389296.2114161,207789544.7896007,36785410.73296923,2020/07/08
754158183.4977888,1031841307.4417456,844678220.22989,208214346.57722017,36965170.09971948,2020/07/09
752748842.1452972,1030323872.7156645,845871689.3749819,209031847.16597214,37204425.40228952,2020/07/10
752618796.7851361,1030816343.5707879,848870519.6095933,210142383.2447051,37387560.34909097,2020/07/11
751855057.648308,1031858254.2557911,851236518.6260451,211023310.07022154,37724719.070138775,2020/07/12
749739136.3458458,1031542044.5001584,851208945.8425182,211163476.94631207,38049505.372123286,2020/07/13
745343366.5071285,1028059561.9562626,848430758.4437175,210719635.7290059,38348694.31762267,2020/07/14
739509746.4433101,1022790155.8755583,844382805.4649241,210078559.59829193,38623001.3168012,2020/07/15
735476022.5302757,1019419432.2322067,843282008.8775557,209978293.55613044,38753522.25609316,2020/07/16
732188435.8386893,1016700725.6560414,843391556.8117238,210286698.93354195,38953682.80671229,2020/07/17
730349015.7351938,1016003726.1878726,845076931.7172405,210982628.68359652,39141689.60343466,2020/07/18
728852560.7745329,1016255466.1377764,847341108.6803684,211689936.26536041,39196566.29904984,2020/07/19
726313683.7711018,1014984582.9026781,845944969.3299628,211512733.55798584,39421350.01215997,2020/07/20
722359132.9644324,1011803194.9000919,842492301.3439422,210926898.3403913,39678865.149195,2020/07/21
719428680.8726116,1009805811.5781832,841407318.2956549,210927331.3968377,39853557.03705368,2020/07/22
716109810.4531496,1006340634.0879694,839678692.7560558,210895632.7780826,40036065.16221569,2020/07/23
714589915.1874077,1005428189.0530671,840698205.4420058,211497849.58549827,40259313.23827182,2020/07/24
714484518.7599028,1005932160.1930207,842858119.8406142,212219607.50835845,40495116.54662399,2020/07/25
712494512.9753044,1005175377.4433334,843246264.6747181,212687907.800174,40806579.5847161,2020/07/26
708550835.6297371,1003380978.8907568,841561503.2823519,212340373.68251568,40982965.96940114,2020/07/27
704460837.9380518,1001894030.2939305,838950308.3257662,211856639.79715046,41243803.919826254,2020/07/28
702318747.4584907,1001765824.3791476,839420420.255023,212023536.67459548,41377217.674232766,2020/07/29
698803156.7114396,999377215.0722375,838717502.3346739,211995956.951931,41437152.21809102,2020/07/30
695721232.609386,997198640.6748233,838677473.4428447,212222625.77503562,41590037.154339,2020/07/31
694677342.2830963,998572851.1720662,841932365.6849803,213228976.25121808,41762226.0359116,2020/08/01
693771156.244815,1000082637.8784121,844053999.4917231,213995310.57634854,42147588.945311226,2020/08/02
692121285.5038836,1001148103.4969693,844606805.176703,214292521.0844537,42502273.87450994,2020/08/03
688248485.7589737,999078705.5456762,842303392.0130559,214097183.79626468,42881569.83418646,2020/08/04
685691047.3318185,998148621.2057685,841968703.6984847,214257827.5801091,43105735.53549344,2020/08/05
683840252.0909879,997577042.6941739,841989139.076473,214380250.48682892,43224682.66439564,2020/08/06
682861887.2526606,997955472.4165965,843487829.8730874,214853795.57481915,43397093.764646426,2020/08/07
682815110.4120698,1000105964.8195978,846886192.235322,215760682.9983158,43478394.04756888,2020/08/08
681885881.1000298,1001414002.170781,848541361.2673407,216305531.24565408,43718709.341499224,2020/08/09
681088511.7366208,1003060510.6585454,848836675.8510767,216254589.0487091,43936975.54178816,2020/08/10
678813671.9376993,1002550157.5384257,847320586.0738769,215814578.28131694,44119336.14331042,2020/08/11
676823142.9283754,1002142179.742446,847421105.4918333,215929558.50385177,44236408.11252383,2020/08/12
676287938.8137319,1003456694.7286123,849227902.4263363,216396090.2611041,44261081.1099896,2020/08/13
675726171.6698283,1004171413.7046536,850916482.1139406,216842539.57316732,44301195.250421114,2020/08/14
676801193.368129,1007416057.7652332,854921148.275668,217808155.26222262,44279177.99888528,2020/08/15
677141353.8987391,1009973459.6481717,857304766.4685637,218334170.39325985,44414962.53151717,2020/08/16
677037039.7416372,1012354682.1686214,858303866.3546891,218366732.47835764,44503240.87248233,2020/08/17
675121922.1631854,1012269803.1327897,856924865.3227258,218025230.75458342,44630619.942444645,2020/08/18
674561653.0181487,1013841626.1601796,857947324.2884233,218152962.77903438,44632730.642155394,2020/08/19
673681368.9655589,1014163032.3826418,858452542.9080584,218193853.5948043,44587952.549923845,2020/08/20
673569597.2635471,1015292477.4711274,860049265.2245836,218550163.37525803,44579531.351738006,2020/08/21
676145022.7210926,1020369738.1552649,865173032.8380425,219631559.1186827,44478847.692196354,2020/08/22
676811434.9327477,1023371737.9212614,867573233.9740026,220148315.27531874,44446509.65309923,2020/08/23
675263570.8926343,1023411430.6721407,867398412.6816596,220089867.7225994,44333693.082104266,2020/08/24
673171559.4680976,1023234470.061629,866050266.2511226,219769702.01264104,44353392.89380486,2020/08/25
672436098.7351303,1024553789.5338324,866764259.9645822,219857709.9182481,44233780.470646076,2020/08/26
671164254.0764217,1024486527.9673846,866861159.5508701,219857988.7281398,44051526.66235943,2020/08/27
669968128.4636645,1024515779.0865343,867869740.2405542,220189997.88454568,43930281.95603638,2020/08/28
670234671.3145818,1026416918.6337509,870624477.5976799,220926643.76732713,43751113.79018389,2020/08/29
669266585.1923646,1027329480.1768284,871646098.0980804,221227490.85660198,43683653.59017457,2020/08/30
668514847.656383,1028307834.4736803,871477587.5455854,221116234.91941312,43609898.102043256,2020/08/31
666488791.0873982,1027773268.3777262,870034404.5491337,220735987.7237936,43541199.54715379,2020/09/01
