Number of Trips <1,Number of Trips 1-5,Number of Trips 5-25,Number of Trips 25-100,Number of Trips >=100,date
889046092.2919117,1313697853.697089,1021914815.4665726,218794385.21051034,33293327.934815172,2019/01/01
886598961.1405473,1309618334.3099754,1019082589.8668602,218467972.27866015,33386980.281580076,2019/01/02
884240494.3281682,1305706513.9626067,1016387372.3718426,218162787.0204468,33479306.17946062,2019/01/03
881970691.8547744,1301962392.6549833,1013829162.9815202,217878829.43587032,33570305.628456794,2019/01/04
879789553.7203659,1298385970.3871047,1011407961.6958927,217616099.5249307,33659978.62856861,2019/01/05
877697079.9249427,1294977247.1589715,1009123768.5149602,217374597.2876279,33748325.17979606,2019/01/06
875693270.468505,1291736222.9705832,1006976583.4387227,217154322.72396198,33835345.28213915,2019/01/07
873778125.3510526,1288662897.82194,1004966406.4671804,216955275.8339329,33921038.935597874,2019/01/08
871951644.5725856,1285757271.713042,1003093237.600333,216777456.6175407,34005406.140172236,2019/01/09
870213828.1331038,1283019344.643889,1001357076.8381805,216620865.07478535,34088446.89586224,2019/01/10
868564676.0326074,1280449116.614481,999757924.1807232,216485501.20566684,34170161.20266788,2019/01/11
867004188.2710963,1278046587.624818,998295779.6279608,216371365.0101852,34250549.06058915,2019/01/12
865532364.8485707,1275811757.6749003,996970643.1798935,216278456.4883404,34329610.46962606,2019/01/13
864149205.7650304,1273744626.7647276,995782514.8365211,216206775.6401325,34407345.429778606,2019/01/14
862854711.0204754,1271845194.8943002,994731394.5978438,216156322.4655614,34483753.94104679,2019/01/15
861648880.6149057,1270113462.0636177,993817282.4638615,216127096.96462718,34558836.00343061,2019/01/16
860531714.5483214,1268549428.2726803,993040178.4345742,216119099.13732982,34632591.616930075,2019/01/17
859503212.8207223,1267153093.5214877,992400082.5099819,216132328.98366928,34705020.78154517,2019/01/18
858563375.4321088,1265924457.8100405,991896994.6900847,216166786.50364563,34776123.497275904,2019/01/19
857712202.3824804,1264863521.1383383,991530914.9748824,216222471.69725883,34845899.76412227,2019/01/20
856949693.6718374,1263970283.5063813,991301843.3643752,216299384.5645089,34914349.582084276,2019/01/21
856275849.3001798,1263244744.9141693,991209779.858563,216397525.1053958,34981472.95116192,2019/01/22
855690669.2675077,1262686905.3617024,991254724.4574457,216516893.31991956,35047269.8713552,2019/01/23
855194153.5738207,1262296764.8489804,991436677.1610236,216657489.20808017,35111740.34266412,2019/01/24
854786302.2191191,1262074323.3760037,991755637.9692965,216819312.76987764,35174884.36508867,2019/01/25
854467115.2034029,1262019580.942772,992211606.8822643,217002364.005312,35236701.93862887,2019/01/26
854236592.526672,1262132537.5492854,992804583.8999271,217206642.91438317,35297193.063284695,2019/01/27
854094734.1889265,1262413193.195544,993534569.0222851,217432149.4970912,35356357.73905616,2019/01/28
854041540.1901662,1262861547.8815475,994401562.2493379,217678883.75343612,35414195.96594326,2019/01/29
854077010.5303915,1263477601.607296,995405563.5810859,217946845.68341786,35470707.743946,2019/01/30
854201145.2096019,1264261354.3727899,996546573.0175288,218236035.28703648,35525893.07306438,2019/01/31
854413944.2277977,1265212806.1780286,997824590.5586667,218546452.56429192,35579751.95329839,2019/02/01
854715407.5849789,1266331957.0230126,999239616.2044997,218878097.51518425,35632284.38464804,2019/02/02
855105535.2811455,1267618806.9077415,1000791649.9550277,219230970.13971344,35683490.36711333,2019/02/03
855584327.3162973,1269073355.8322155,1002480691.8102506,219605070.43787944,35733369.90069425,2019/02/04
856151783.6904345,1270695603.7964346,1004306741.7701687,220000398.40968233,35781922.98539081,2019/02/05
856807904.4035571,1272485550.8003988,1006269799.8347818,220416954.05512208,35829149.62120301,2019/02/06
857552689.4556649,1274443196.8441083,1008369866.0040897,220854737.37419868,35875049.808130845,2019/02/07
858386138.8467581,1276568541.9275627,1010606940.2780927,221313748.36691213,35919623.54617432,2019/02/08
859308252.5768367,1278861586.0507622,1012981022.6567909,221793987.03326243,35962870.83533343,2019/02/09
860319030.6459006,1281322329.2137067,1015492113.1401839,222295453.3732496,36004791.67560817,2019/02/10
861418473.05395,1283950771.4163964,1018140211.7282721,222818147.3868736,36045386.066998556,2019/02/11
862606579.8009845,1286746912.6588311,1020925318.4210552,223362069.07413447,36084654.00950458,2019/02/12
863883350.8870045,1289710752.941011,1023847433.2185333,223927218.43503222,36122595.503126234,2019/02/13
865248786.3120098,1292842292.2629356,1026906556.1207064,224513595.4695668,36159210.54786353,2019/02/14
866702886.0760005,1296141530.6246057,1030102687.1275746,225121200.17773822,36194499.14371646,2019/02/15
868245650.1789764,1299608468.0260208,1033435826.2391378,225750032.55954653,36228461.29068503,2019/02/16
869877078.6209377,1303243104.467181,1036905973.4553959,226400092.61499166,36261096.98876923,2019/02/17
871597171.4018844,1307045439.948086,1040513128.7763492,227071380.34407368,36292406.23796908,2019/02/18
